user,link,text,created_at,#likes,#comments,#retweets
Elon Musk,https://twitter.com/elonmusk/status/1803077464463114479#m,Article about Tesla Powerwall 3,"Jun 18, 2024 · 2:49 PM UTC",34778,2469,5560
Elon Musk,https://twitter.com/elonmusk/status/1803076707538071575#m,The federal government is spending America into oblivion,"Jun 18, 2024 · 2:46 PM UTC",166091,13370,32641
DogeDesigner,https://twitter.com/cb_doge/status/1803075028176793795#m,Publish your articles directly on this platform for greater reach. Your 𝕏 articles are also indexed by search engines.  via @nima_owji,"Jun 18, 2024 · 2:39 PM UTC",4115,434,925
Tesla Energy,https://twitter.com/teslaenergy/status/1802954264211341774#m,Powerwall 3 is now available in Germany 🇩🇪 ts.la/Powerwall3Germany,"Jun 18, 2024 · 6:39 AM UTC",8155,615,1288
Tesla Energy,https://twitter.com/teslaenergy/status/1802952037337800827#m,Powerwall 3 is now available in the United Kingdom 🇬🇧ts.la/Powerwall3UK,"Jun 18, 2024 · 6:30 AM UTC",6636,436,1010
Elon Musk,https://twitter.com/elonmusk/status/1802787641340952861#m,Working on the Tesla Master Plan 4. It will be epic.,"Jun 17, 2024 · 7:37 PM UTC",224895,14955,16799
Elon Musk,https://twitter.com/elonmusk/status/1802765778191597688#m,"Tesla Megapacks massively increase electric power generation efficiency, as they can buffer power at night for use in the day, dramatically reducing the need to build new powerplants.   It also allows for the least efficient power plants to be shut down!","Jun 17, 2024 · 6:10 PM UTC",100197,6072,14423
Tesla,https://twitter.com/Tesla/status/1802755597286216035#m,FSD Supervised makes parking easy,"Jun 17, 2024 · 5:30 PM UTC",11794,737,1812
Elon Musk,https://twitter.com/elonmusk/status/1802764654273315232#m,The new Model 3 Long Range is an amazing car,"Jun 17, 2024 · 6:06 PM UTC",99448,6960,10632
DogeDesigner,https://twitter.com/cb_doge/status/1802602110724563226#m,"Over half a billion of the most affluent, informed, and influential people on earth spend an average of 34 minutes daily on 𝕏","Jun 17, 2024 · 7:20 AM UTC",8655,844,1427
DogeDesigner,https://twitter.com/cb_doge/status/1802688462857883876#m,More than 6.4 million Spaces have been created on 𝕏 this year.  Every business or brand should utilize 𝕏 Spaces to interact with their audience in real-time.,"Jun 17, 2024 · 1:03 PM UTC",5235,452,1042
Ryan Reynolds,https://twitter.com/VancityReynolds/status/1792540383362404550#m,LFG. GT. #DeadpoolAndWolverine ❤️💛,"May 20, 2024 · 12:58 PM UTC",31528,785,5341
Ryan Reynolds,https://twitter.com/VancityReynolds/status/1804124272283017389#m,Latest work from Maximum Effort ⬇️⬇️ and thanks to the legendary @WilliamShatner,"Jun 21, 2024 · 12:08 PM UTC",7253,162,757
Ryan Reynolds,https://twitter.com/VancityReynolds/status/1803946962518999299#m,Thanks to everyone for their hard work on this and looking forward to building the future of Wrexham with @squirepartners and Arena Group,"Jun 21, 2024 · 12:24 AM UTC",2639,55,124
Ryan Reynolds,https://twitter.com/VancityReynolds/status/1803459593588056298#m,Hi Alan!!!! Hi @RollingStone! Diolch! 🏴󠁧󠁢󠁷󠁬󠁳󠁿,"Jun 19, 2024 · 4:07 PM UTC",1927,62,94
Ryan Reynolds,https://twitter.com/VancityReynolds/status/1801238720592646414#m,"The Happiest Drink on Earth. The @AviationGin Vasectomy, Deadpool Edition. Happy Father’s Day!","Jun 13, 2024 · 1:02 PM UTC",15048,301,2003
Ryan Reynolds,https://twitter.com/VancityReynolds/status/1800891671716257996#m,"To clock in a new era of advertising, we brought in TV’s first pioneer @bulova. Introducing MNTN Matched. @WeAreMNTN","Jun 12, 2024 · 2:03 PM UTC",2631,78,199
Ryan Reynolds,https://twitter.com/VancityReynolds/status/1799426772875764094#m,I hope everyone gets to work with their best friend at least once in their lifetime. I know I can’t wait to finally do it. #BestFriendsDay #DeadpoolAndWolverine ❤️💛,"Jun 8, 2024 · 1:02 PM UTC",54075,672,8304
